"ItemID","Subsystem","Stage","ItemClass","PreferredCandidate","AltCandidate","Manufacturer","MPN","Qty","Supplier","SupplierRegion","UnitCost","Currency","QuoteDate","LeadTime","Risk","Status","Notes","Mass_g","PeakPower_W","Envelope_mm","RequirementIDs","RiskIDs","ADRIDs","ProcedureIDs","ProcurementState","EvidenceRef"
"BOM-011","Structure/Thermal","Flight-Like","Frame 1.5U","TBD — estructura CubeSat 1.5U aluminio","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Estructura CDS 1.5U; Z=170.2+/-0.1mm. Envolvente completa e ICD TBD.","TBD","TBD","TBD","MIS-REQ-01;THR-REQ-01","RSK-MECH-01;RSK-THR-01","ADR-20260727-cubesat-1p5u-cds-envelope;ADR-20260727-thermal-power-baselines-reopened","PROC-MECH-001;PROC-THR-001","TBD","TBD"
"BOM-012","Structure/Thermal","Flight-Like","Rails + screws + fasteners","TBD","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","TBD","TBD","TBD","TBD","MIS-REQ-01;THR-REQ-01","RSK-MECH-01;RSK-THR-01","ADR-20260727-cubesat-1p5u-cds-envelope;ADR-20260727-thermal-power-baselines-reopened","PROC-MECH-001;PROC-THR-001","TBD","TBD"
"BOM-013","Structure/Thermal","Bench","Perfboard / breadboard","55x34 mm perfboard","TBD","Genérico","TBD","2","Local AR","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","En uso en banco EPS. Ver BOM_EPS_Bench1_1S.md","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-014","EPS","Bench","Solar charger COTS 1S","CN3065 module","TBD","TBD","CN3065","1","Local AR / MercadoLibre","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","Cargador lineal (no MPPT). Solo banco 1S. Ver EPS_Bench1_1S.md","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-015","EPS","Bench","BMS 1S COTS","BMS 1S 5A module","TBD","TBD","TBD","1","Local AR / MercadoLibre","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","Módulo COTS. Solo banco.","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-016","EPS","Bench","Boost converter COTS","MT3608 module","TBD","TBD","MT3608","1","Local AR / MercadoLibre","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","Solo banco 1S.","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-017","EPS","Bench","Buck converter COTS","Mini-360 MP2307","TBD","TBD","MP2307","1","Local AR / MercadoLibre","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","Solo banco 1S.","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-018","EPS","Bench","Current/voltage sensor","INA219 CJMCU module","TBD","TBD","INA219","2","Local AR / MercadoLibre","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","2 unidades (solar + load). Ver EPS_Bench1_1S.md","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-019","EPS","Bench","MCU EPS","Arduino Nano (ATmega328P)","TBD","Arduino / Compatible","ATmega328P","1","Local AR","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","Solo banco. Ver EPS_Bench1_1S.md","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-020","EPS","Bench","Battery cell 1S","18650 Li-ion 3.7V","TBD","TBD","TBD","1","Local AR","Argentina","TBD","ARS","TBD","TBD","Medium","Open","Celda comercial para banco. Marca/MPN TBD.","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-021","EPS","Bench","Solar panel","Panel solar monocristalino 1.2W 5.5V 98x98mm","TBD","TBD","TBD","2","Local AR / MercadoLibre","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","2 unidades (strings A+B). Ver EPS_Bench1_1S.md","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-022","EPS","Bench","System header control/sense","JP1 2x12 header","TBD","Generico","TBD","1","Local AR","Argentina","TBD","USD","TBD","TBD","Medium","Open","Header bench-only de control/sense/telemetria. La potencia principal IA no pasa por JP1.","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-023","EPS","Bench","AI power input connector","J_AI_PWR 2-pin connector","TBD","Generico","TBD","1","Local AR","Argentina","TBD","USD","TBD","TBD","Medium","Open","Entrada principal de `5V_AI_EXT` para Gate IA-2. Bench-only.","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01;RSK-AI-02","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-024","EPS","Bench","AI external 5V harness","Harness 5V + GND hacia carrier board COTS","TBD","Generico","TBD","1","Local AR","Argentina","TBD","USD","TBD","TBD","Medium","Open","Harness bench-only para `5V_AI_SW` y retorno. No extrapolar a vuelo.","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01;RSK-AI-02","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-025","EPS","Bench","AI rail protection","PTC / fuse `F_AI`","TBD","TBD","TBD","1","Local AR","Argentina","TBD","USD","TBD","TBD","Medium","Open","Proteccion bench-only de la rama IA.","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01;RSK-AI-02","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-026","EPS","Bench","AI high-current switch / eFuse","Load switch / eFuse `SW_AI`","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","MPN final TBD. No congelar `TPS22918` mientras la corriente del CM5 siga abierta.","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01;RSK-AI-02","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-027","EPS","Bench","AI current sense option","INA219 extra / metrologia externa de banco","Metrologia externa preferida si el shunt afecta el boot","TBD","TBD","1","Local AR / Lab","TBD","TBD","USD","TBD","TBD","Medium","Open","Opcion bench-only para `T20`; el sensado principal del CM5 puede requerir metrologia externa.","TBD","TBD","TBD","MIS-REQ-13;SYS-REQ-02;SYS-REQ-04","RSK-CONF-01;RSK-EPS-01;RSK-AI-02","ADR-20260218-eps-bench1s-cots-to-custom-flight-pcb;ADR-20260313-eps-separacion-bench-flightlike-flight","PROC-DOC-001;PROC-EPS-001","TBD","TBD"
"BOM-028","AI Payload experimental","Bench","CM5 module bench candidate","Raspberry Pi CM5 8 GB","TBD","Raspberry Pi","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Bench candidate para Gate IA-2. SKU exacto TBD.","TBD","TBD","TBD","IA-REQ-09;IA-REQ-10","RSK-AI-01;RSK-AI-02","ADR-20260727-ai-payload-gemma4-e2b-candidate","PROC-AI-001;PROC-AI-002","TBD","TBD"
"BOM-029","AI Payload experimental","Bench","CM5 carrier board COTS","Carrier board COTS externa para CM5","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Integracion Gate IA-2 en banco. Bench-only.","TBD","TBD","TBD","IA-REQ-09;IA-REQ-10","RSK-AI-01;RSK-AI-02","ADR-20260727-ai-payload-gemma4-e2b-candidate","PROC-AI-001;PROC-AI-002","TBD","TBD"
"BOM-030","AI Payload experimental","Bench","UART level adaptation / interface","Level shifter / UART bench interface","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Adaptación y transporte OBC↔IA de banco; niveles, framing, límites, session/reset e idempotencia se verifican por IA-REQ-12.","TBD","TBD","TBD","IA-REQ-09;IA-REQ-10;IA-REQ-12","RSK-AI-01;RSK-AI-02;RSK-AI-03;RSK-FSW-02","ADR-20260727-ai-payload-gemma4-e2b-candidate","PROC-AI-001;PROC-AI-002","TBD","TBD"
"BOM-031","AI Payload experimental","Bench","CM5 thermal telemetry","Basic thermal sensor / probe for CM5","TBD","TBD","TBD","1","Local AR / Lab","TBD","TBD","USD","TBD","TBD","Medium","Open","Telemetria termica basica para `T21`. Bench-only.","TBD","TBD","TBD","IA-REQ-09;IA-REQ-10","RSK-AI-01;RSK-AI-02","ADR-20260727-ai-payload-gemma4-e2b-candidate","PROC-AI-001;PROC-AI-002","TBD","TBD"
"BOM-032","AI Payload experimental","Flight-Like","CM5 module flight-like candidate","TBD — plataforma flight-like tras COTS-to-flight","CM5 family como alternativa en evaluación","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Hardware flight-like y flight TBD; no transferir evidencia de banco.","TBD","TBD","TBD","IA-REQ-09;IA-REQ-10","RSK-AI-01;RSK-AI-02","ADR-20260727-ai-payload-gemma4-e2b-candidate","PROC-AI-001;PROC-AI-002","TBD","TBD"
"BOM-033","EPS","Flight-Like","MPPT charge controller architecture","TBD — per-face/string topology after IV and EOL trade","BQ24650 as unselected reference","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Un MPPT común no se presume válido para caras ortogonales; startup hot/cold mismatch bypass y failure cases abiertos.","TBD","TBD","TBD","MIS-REQ-06;COMP-REQ-06;PWR-REQ-01;EPS-REQ-02","RSK-EPS-01;RSK-EPS-02;RSK-PWR-01","ADR-20260218-battery-topology-2s-flight;ADR-20260727-thermal-power-baselines-reopened","PROC-EPS-001;PROC-PWR-001","TBD","TBD"
"BOM-034","EPS","Flight-Like","BMS 2S architecture","TBD — complete protection and balancing trade","S-8252/BQ29209 are non-equivalent references only","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Ningún IC aislado constituye BMS completo; primary/secondary protection balanceo FETs fuse sensing and charge inhibit TBD.","TBD","TBD","TBD","MIS-REQ-06;COMP-REQ-06;THR-REQ-03","RSK-EPS-01;RSK-EPS-02","ADR-20260218-battery-topology-2s-flight;ADR-20260727-thermal-power-baselines-reopened","PROC-EPS-001;PROC-THR-001","TBD","TBD"
"BOM-035","EPS","Flight-Like","DC/DC converter IC","TPS630701 (buck-boost)","TBD","Texas Instruments","TPS630701","1","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","Medium","Open","Candidato flight-like; topología, eficiencia, derating, estabilidad, inrush y layout deben verificarse.","TBD","TBD","TBD","PWR-REQ-01;EPS-REQ-02;SYS-REQ-04","RSK-EPS-01;RSK-PWR-01;RSK-CONF-01","ADR-20260727-thermal-power-baselines-reopened","PROC-EPS-001;PROC-PWR-001","TBD","TBD"
"BOM-036","EPS","Flight-Like","Buck converter IC","TPS62160","TBD","Texas Instruments","TPS62160","1","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","Medium","Open","Candidato flight-like; topología, eficiencia, derating, estabilidad, inrush y layout deben verificarse.","TBD","TBD","TBD","PWR-REQ-01;EPS-REQ-02;SYS-REQ-04","RSK-EPS-01;RSK-PWR-01;RSK-CONF-01","ADR-20260727-thermal-power-baselines-reopened","PROC-EPS-001;PROC-PWR-001","TBD","TBD"
"BOM-037","EPS","Flight-Like","MCU EPS","MSP430FR2033","STM32L011","Texas Instruments","MSP430FR2033","1","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","Medium","Open","Candidato para máquina EPS y health; MPN, pinout, thresholds, watchdog y consumo permanecen abiertos.","TBD","TBD","TBD","EPS-REQ-01;EPS-REQ-02;MIS-REQ-08;MIS-REQ-10","RSK-EPS-01;RSK-EPS-03;RSK-FSW-01","ADR-20260314-eps-state-4-levels;ADR-20260727-thermal-power-baselines-reopened","PROC-EPS-001;PROC-FSW-001","TBD","TBD"
"BOM-038","EPS","Flight-Like","Triple current sensor IC","INA3221","TBD","Texas Instruments","INA3221","1","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","Medium","Open","Candidato de telemetría; canales, shunts, error, calibración y configuración exacta permanecen abiertos.","TBD","TBD","TBD","PWR-REQ-01;MIS-REQ-10;EPS-REQ-02","RSK-PWR-01;RSK-EPS-01;RSK-CONF-01","ADR-20260727-thermal-power-baselines-reopened","PROC-PWR-001;PROC-EPS-001;PROC-FSW-001","TBD","TBD"
"BOM-039","EPS","Flight-Like","Load switches","TPS22918","TBD","Texas Instruments","TPS22918","4","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","Medium","Open","Candidatos; cantidad, corriente, default-off, backfeed, inrush, fault containment y layout permanecen abiertos.","TBD","TBD","TBD","IA-REQ-01;EPS-REQ-02;MIS-REQ-08","RSK-EPS-01;RSK-AI-02;RSK-FSW-01","ADR-20260727-ai-payload-gemma4-e2b-candidate;ADR-20260727-thermal-power-baselines-reopened","PROC-EPS-001;PROC-AI-002","TBD","TBD"
"BOM-040","EPS","Flight-Like","Battery cells 2S","TBD — pack 2S tras budget y safety","TBD","TBD","TBD","TBD","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Celda capacidad paralelo BMS y protección siguen TBD.","TBD","TBD","TBD","MIS-REQ-06;COMP-REQ-06","RSK-EPS-01;RSK-EPS-02","ADR-20260218-battery-topology-2s-flight;ADR-20260727-thermal-power-baselines-reopened","PROC-EPS-001","TBD","TBD"
"BOM-041","OBC + Storage","Flight-Like","MCU OBC","STM32L4xx","TBD","STMicroelectronics","STM32L4xx","1","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","Medium","Open","STM32L4 clase. MPN exacto TBD según pinout/package.","TBD","TBD","TBD","MIS-REQ-08;MIS-REQ-10","RSK-FSW-01;RSK-RAD-01","ADR-20260314-eps-state-4-levels","PROC-FSW-001;PROC-RAD-001","TBD","TBD"
"BOM-042","OBC + Storage","Flight-Like","Watchdog HW externo","TBD","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","TBD","TBD","TBD","TBD","MIS-REQ-08;MIS-REQ-10","RSK-FSW-01;RSK-RAD-01","ADR-20260314-eps-state-4-levels","PROC-FSW-001;PROC-RAD-001","TBD","TBD"
"BOM-043","OBC + Storage","Flight-Like","NOR Flash (critical logs)","TBD","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Para logs críticos. Capacidad TBD.","TBD","TBD","TBD","MIS-REQ-08;MIS-REQ-10","RSK-FSW-01;RSK-RAD-01","ADR-20260314-eps-state-4-levels","PROC-FSW-001;PROC-RAD-001","TBD","TBD"
"BOM-044","OBC + Storage","Flight-Like","microSD","Standard microSD + holder","TBD","TBD","TBD","1","Local AR","Argentina","TBD","ARS","TBD","TBD","Medium","Open","Para bulk storage. Holder + tarjeta.","TBD","TBD","TBD","MIS-REQ-08;MIS-REQ-10","RSK-FSW-01;RSK-RAD-01","ADR-20260314-eps-state-4-levels","PROC-FSW-001;PROC-RAD-001","TBD","TBD"
"BOM-045","OBC + Storage","Bench","Arduino / STM32 dev board (bench OBC)","Arduino Nano / Nucleo","TBD","Arduino / ST","TBD","1","Local AR","Argentina","TBD","ARS","TBD","TBD","Medium","Partial","Solo banco de pruebas de software.","TBD","TBD","TBD","MIS-REQ-08;MIS-REQ-10","RSK-FSW-01;RSK-RAD-01","ADR-20260314-eps-state-4-levels","PROC-FSW-001;PROC-RAD-001","TBD","TBD"
"BOM-046","COMMS UHF TTC","Flight-Like","Radio SoC TTC","TI CC1110Fxx (base OpenLST)","Si4463 / AX5043 / CC1101","Texas Instruments","CC1110F32","1","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","High","Open","CC1110 es base OpenLST. Hardware final TBD. Requiere ADR de adopción.","TBD","TBD","TBD","MIS-REQ-03;SEC-REQ-01","RSK-RF-01;RSK-SEC-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-SEC-001","TBD","TBD"
"BOM-047","COMMS UHF TTC","Flight-Like","PA UHF","TBD — PA para banda coordinada","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Frecuencia potencia arquitectura y PA TBD tras coordinación y trade.","TBD","TBD","TBD","MIS-REQ-03;SEC-REQ-01","RSK-RF-01;RSK-SEC-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-SEC-001","TBD","TBD"
"BOM-048","COMMS UHF TTC","Flight-Like","SAW filter 435MHz","TBD — filtro para banda coordinada","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Selección depende de frecuencia waveform y front-end aprobados.","TBD","TBD","TBD","MIS-REQ-03;SEC-REQ-01","RSK-RF-01;RSK-SEC-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-SEC-001","TBD","TBD"
"BOM-049","COMMS UHF TTC","Flight-Like","TCXO 27MHz","TCXO ~27 MHz","TBD","TBD","TBD","1","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","Medium","Open","Para estabilidad vs Doppler. TBD.","TBD","TBD","TBD","MIS-REQ-03;SEC-REQ-01","RSK-RF-01;RSK-SEC-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-SEC-001","TBD","TBD"
"BOM-050","COMMS UHF TTC","Flight-Like","Antena UHF deployable","TBD — geometría para banda coordinada","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Mecanismo de despliegue TBD. Compatible con 1.5U.","TBD","TBD","TBD","MIS-REQ-03;SEC-REQ-01","RSK-RF-01;RSK-SEC-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-001;PROC-SEC-001","TBD","TBD"
"BOM-051","LoRa RX orbital","Flight-Like","LoRa concentrator / RX","TBD — concentrator vs receptor simple","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","High","Open","Selección requiere sensibilidad CFO Doppler blocking consumo y regulación medidos.","TBD","TBD","TBD","MIS-REQ-02;MIS-REQ-04;COMMS-UL-04","RSK-REG-01;RSK-COMMS-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-002;PROC-REG-001","TBD","TBD"
"BOM-052","LoRa RX orbital","Flight-Like","Antena LoRa orbital","Dipolo/patch impreso 915 MHz","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","TBD","TBD","TBD","TBD","MIS-REQ-02;MIS-REQ-04;COMMS-UL-04","RSK-REG-01;RSK-COMMS-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-RF-002;PROC-REG-001","TBD","TBD"
"BOM-053","GNSS","Flight-Like","Módulo GNSS","TBD — módulo GNSS UART","TBD","TBD","TBD","1","TBD","TBD","TBD","USD","TBD","TBD","Medium","Open","Candidato orbital para tiempo/posición/telemetría; función y necesidad deben cerrarse por CONOPS. No acredita TLE del nodo terrestre.","TBD","TBD","TBD","SYS-REQ-04;ADCS-REQ-02","RSK-CONF-01;RSK-ADCS-01","ADR-20260727-rf-regulatory-command-security-baseline","PROC-DOC-001;PROC-ADCS-001","TBD","TBD"
"BOM-054","Science Pack","Flight-Like","UV sensor","TBD — sensor UV I2C","TBD","TBD","TBD","1","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","Medium","Open","Sensor UV I2C para Science Board.","TBD","TBD","TBD","MIS-REQ-07;SCI-REQ-01","RSK-SCI-01;RSK-CONF-01","ADR-20260218-geiger-removed-from-mvp","PROC-SENSOR-001;PROC-DOC-001","Not authorized — sensor trade open","TBD"
"BOM-055","Science Pack","Flight-Like","ALS/visible sensor","TBD — sensor ALS I2C","TBD","TBD","TBD","1","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","Medium","Open","Sensor ALS visible I2C.","TBD","TBD","TBD","MIS-REQ-07;SCI-REQ-01","RSK-SCI-01;RSK-CONF-01","ADR-20260218-geiger-removed-from-mvp","PROC-SENSOR-001;PROC-DOC-001","Not authorized — sensor trade open","TBD"
"BOM-056","Science Pack","Flight-Like","Magnetómetro 3 ejes","TBD — magnetómetro I2C","TBD","TBD","TBD","1","Mouser/DigiKey","Internacional","TBD","USD","TBD","TBD","Medium","Open","Magnetómetro 3 ejes I2C.","TBD","TBD","TBD","MIS-REQ-07;SCI-REQ-01","RSK-SCI-01;RSK-CONF-01","ADR-20260218-geiger-removed-from-mvp","PROC-SENSOR-001;PROC-DOC-001","Not authorized — sensor trade open","TBD"
